Date,Open,High,Low,Close,Volume
11/19/2024,"226.98","230.16","226.66","228.28","36,211,770"
11/18/2024,"225.25","229.74","225.17","228.02","44,686,020"
11/15/2024,"226.40","226.92","224.27","225.00","47,923,699"
11/14/2024,"225.02","228.87","225.00","228.22","44,923,941"
11/13/2024,"224.01","226.65","222.76","225.12","48,566,219"
11/12/2024,"224.55","225.59","223.36","224.23","40,398,301"
11/11/2024,"225.00","225.70","221.50","224.23","42,005,602"
11/08/2024,"227.17","228.66","226.41","226.96","38,328,820"
11/07/2024,"224.63","227.88","224.57","227.48","42,137,688"
11/06/2024,"222.61","226.07","221.19","222.72","54,561,121"
11/05/2024,"221.80","223.95","221.14","223.45","28,111,340"
11/04/2024,"220.99","222.79","219.71","222.01","44,944,473"
11/01/2024,"220.97","225.35","220.27","222.91","65,276,738"
10/31/2024,"229.34","229.83","225.37","225.91","64,370,090"
10/30/2024,"232.61","233.47","229.55","230.10","47,070,910"
10/29/2024,"233.10","234.33","232.32","233.67","35,417,246"
10/28/2024,"233.32","234.73","232.55","233.40","36,087,129"
10/25/2024,"229.74","233.22","229.57","231.41","38,802,301"
10/24/2024,"229.98","230.82","228.41","230.57","31,109,500"
10/23/2024,"234.08","235.14","227.76","230.76","52,286,980"
10/22/2024,"233.89","236.22","232.60","235.86","38,846,578"
10/21/2024,"234.45","236.85","234.45","236.48","36,254,473"
